condition,player,mean_time,std_time,type,lag
0.0 Control Assistance,F,44.91,1.35,player,0 Lag
0.0 Control Assistance,F,44.06,0.21,bot,0 Lag
0.0 Control Assistance,F,45.26,0.78,player,100 Lag
0.0 Control Assistance,F,44.03,0.11,bot,100 Lag
0.2 Control Assistance,F,44.07,0.4,player,0 Lag
0.2 Control Assistance,F,44.0,0.24,bot,0 Lag
0.2 Control Assistance,F,44.55,0.99,player,100 Lag
0.2 Control Assistance,F,44.02,0.08,bot,100 Lag
1.0 Control Assistance,F,44.68,0.76,player,0 Lag
1.0 Control Assistance,F,43.99,0.09,bot,0 Lag
1.0 Control Assistance,F,45.07,0.87,player,100 Lag
1.0 Control Assistance,F,44.0,0.17,bot,100 Lag
0.0 Control Assistance,J,42.81,0.18,player,0 Lag
0.0 Control Assistance,J,44.1,0.11,bot,0 Lag
0.0 Control Assistance,J,43.7,0.43,player,100 Lag
0.0 Control Assistance,J,44.25,0.24,bot,100 Lag
0.2 Control Assistance,J,42.56,0.27,player,0 Lag
0.2 Control Assistance,J,43.97,0.2,bot,0 Lag
0.2 Control Assistance,J,43.29,0.27,player,100 Lag
0.2 Control Assistance,J,44.07,0.15,bot,100 Lag
1.0 Control Assistance,J,44.09,0.32,player,0 Lag
1.0 Control Assistance,J,44.03,0.09,bot,0 Lag
1.0 Control Assistance,J,43.8,0.32,player,100 Lag
1.0 Control Assistance,J,44.15,0.16,bot,100 Lag
0.0 Control Assistance,M,41.9,0.48,player,0 Lag
0.0 Control Assistance,M,43.97,0.17,bot,0 Lag
0.0 Control Assistance,M,44.29,0.37,player,100 Lag
0.0 Control Assistance,M,43.98,0.18,bot,100 Lag
0.2 Control Assistance,M,42.38,0.26,player,0 Lag
0.2 Control Assistance,M,43.97,0.14,bot,0 Lag
0.2 Control Assistance,M,42.58,0.53,player,100 Lag
0.2 Control Assistance,M,44.11,0.15,bot,100 Lag
1.0 Control Assistance,M,44.36,0.24,player,0 Lag
1.0 Control Assistance,M,44.16,0.1,bot,0 Lag
1.0 Control Assistance,M,42.56,0.47,player,100 Lag
1.0 Control Assistance,M,43.97,0.15,bot,100 Lag
