player,condition,lag,win_percentage
F,1.0 Control Assistance,0 Lag,40.0
F,0.0 Control Assistance,0 Lag,0.0
F,0.2 Control Assistance,0 Lag,20.0
F,1.0 Control Assistance,200 Lag,60.0
F,0.0 Control Assistance,200 Lag,0.0
F,0.2 Control Assistance,200 Lag,20.0
J,1.0 Control Assistance,0 Lag,20.0
J,0.0 Control Assistance,0 Lag,100.0
J,0.2 Control Assistance,0 Lag,100.0
J,1.0 Control Assistance,200 Lag,60.0
J,0.0 Control Assistance,200 Lag,80.0
J,0.2 Control Assistance,200 Lag,80.0
M,1.0 Control Assistance,0 Lag,80.0
M,0.0 Control Assistance,0 Lag,100.0
M,0.2 Control Assistance,0 Lag,100.0
M,1.0 Control Assistance,200 Lag,40.0
M,0.0 Control Assistance,200 Lag,60.0
M,0.2 Control Assistance,200 Lag,100.0
